"Sc","Kgp"
0.141371669411541,0.02
0.392699081698724,0.03
0.314159265358979,0.03
0.471238898038469,0.04
0.392699081698724,0.05
0.502654824574367,0.06
0.785398163397448,0.07
0.75398223686155,0.08
2.35619449019234,0.11
1.41371669411541,0.12
1.53152641862502,0.16
1.76714586764426,0.33
2.04203522483337,0.4
3.92699081698724,0.45
3.61283155162826,0.47
5.49778714378214,0.59
6.59734457253856,0.79
5.89048622548086,1.29
10.4457955731861,1.47
6.28318530717959,1.63
10.4457955731861,1.63
15.707963267949,1.67
9.55044166691297,2.63
14.1371669411541,3.47
23.5619449019234,3.66
4.90873852123405,1.59075
3.97411470679109,0.68175
1.69646003293849,0.22725
7.77544181763474,1.48975
3.97411470679109,0.707
4.90873852123405,1.111
2.35619449019234,0.4545
2.54469004940773,0.303
2.00276531666349,0.2525
6.157536,1
2.010624,0.3
11.0446875,1.575
2.1382515,0.175
1.6513035,0.15
11.0446875,1.125
23.75835,2.125
38.4846,2.875
8.042496,0.75
28.2744,2.125
23.75835,2.25
28.2744,4.925
0.376991118430775,0.07
0.942477796076938,0.28
2.94524311274043,0.38
2.26194671058465,0.48
2.35619449019234,0.64
4.94800842940392,0.68
1.41371669411541,0.74
3.76991118430775,0.77
4.71238898038469,0.96
3.95840674352314,1.02
6.87223392972767,1.09
6.59734457253856,1.47
3.92699081698724,1.72
7.69690200129499,2.27
13.7444678594553,2.5
5.89048622548086,3.02
10.9955742875643,3.66
15.707963267949,4.46
0.5,0.039
0.66,0.048
0.68,0.094
0.55,0.095
0.55,0.097
0.75,0.112
0.75,0.138
0.64,0.15
1,0.176
0.79,0.208
0.86,0.237
1.25,0.292
1.67,0.366
1.41,0.51
1,0.612
1.23,0.614
1.42,0.658
2.44,0.672
1,0.672
1.49,0.747
1.76,0.808
1.48,0.944
3,0.97
1.83,0.986
2.9,1.108
1.36,1.208
2.55,1.36
1.96,1.414
1.81,1.433
3.88,1.494
1.8,1.498
1.95,1.58
2.05,1.778
2.55,1.87
2.45,1.97
2.5,1.978
2.5,2.042
1.89,2.436
2.37,3.76
2.66,4.902
2.8,0.182
2,0.278
2,0.281
1.5,0.281
2.2,0.301
2.3,0.308
2.9,0.42
1.6,0.584
2.6,0.62
3.3,0.727
